,limit,limitErr,mh,syst,iToy,iSeed,iChannel,t_cpu,t_real,quantileExpected
0,0.05564117431640625,0.0,500.0,1,0,123456,0,0.0,0.0,0.025
1,0.0748336911201477,0.0,500.0,1,0,123456,0,0.0,0.0,0.16
2,0.10791015625,0.0,500.0,1,0,123456,0,0.0,0.0,0.5
3,0.15737561881542206,0.0,500.0,1,0,123456,0,0.0,0.0,0.84
4,0.22207893431186676,0.0,500.0,1,0,123456,0,0.0,0.0,0.975
5,0.022235870361328125,0.0,350.0,1,0,123456,0,0.0,0.0,0.025
6,0.029827594757080078,0.0,350.0,1,0,123456,0,0.0,0.0,0.16
7,0.04248046875,0.0,350.0,1,0,123456,0,0.0,0.0,0.5
8,0.06178396940231323,0.0,350.0,1,0,123456,0,0.0,0.0,0.84
9,0.08731957525014877,0.0,350.0,1,0,123456,0,0.0,0.0,0.975
10,0.00830078125,0.0,200.0,1,0,123456,0,0.0,0.0,0.025
11,0.010589599609375,0.0,200.0,1,0,123456,0,0.0,0.0,0.16
12,0.015624999999999998,0.0,200.0,1,0,123456,0,0.0,0.0,0.5
13,0.02309883013367653,0.0,200.0,1,0,123456,0,0.0,0.0,0.84
14,0.034161657094955444,0.0,200.0,1,0,123456,0,0.0,0.0,0.975
